sides,sizes,prices,potential_winnings,timestamps,outcomes,slugs,condition_ids,names
BUY,23420.906284,0.21348447999280676,18420.906285,1772382867,Yes,us-x-iran-ceasefire-by-march-6,0x74d513ded76c21815373eae49004f36291d958b034087e7bb3669f156e3d116e,0xdde15ebd95330ce69136dc0ccd810d22382e02c5
BUY,56359.95,0.2,45087.96,1772237235,Yes,us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,0xdde15ebd95330ce69136dc0ccd810d22382e02c5
BUY,98837.5,0.1,88953.75,1772146430,Yes,us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,0x56efadc9defe5b7a21af751e0d026f2cf54136db
BUY,96446.45,0.12874573610537246,84029.3808,1772254103,Yes,us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,0x38745db27f7360a287f6ca3c9b6a6a9c76149801
BUY,16861.605332,0.14999999995255495,14332.364533,1772254101,Yes,us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,0x38745db27f7360a287f6ca3c9b6a6a9c76149801
BUY,20355.684209,0.18999999996512032,16488.104209999998,1772212835,Yes,us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,0x38745db27f7360a287f6ca3c9b6a6a9c76149801
BUY,7083.333332,0.239999999904,5383.3333330000005,1772204225,Yes,us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,0x38745db27f7360a287f6ca3c9b6a6a9c76149801
BUY,60000.0,0.1,54000.0,1772142288,Yes,us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,0x38745db27f7360a287f6ca3c9b6a6a9c76149801
SELL,1440.11,0.0071830068536431245,1429.76568,1771537998,Yes,will-the-us-next-strike-iran-on-february-19-2026-et,0xf0e8d9b598385b7af803427463b94377280cfe1b58f045fc61c8d4530af768ad,0x38745db27f7360a287f6ca3c9b6a6a9c76149801
SELL,2794.78,0.045012262145857636,2668.98063,1771537990,Yes,will-the-us-next-strike-iran-on-february-21-2026-et,0xe5e57a570056e363a16129a3985cedcdfcb484d0d799a5f527a43baf31a11bf9,0x38745db27f7360a287f6ca3c9b6a6a9c76149801
