account_creation_date, account_creation_time, account_id, wager_date, wager_time, wager_dow,  wager_amount, total_bets_made_before_wager, total_categories_bet_on_before_wager, total_amount_bet_before_wager, wager_category, total_bet_on_wager, wager_outcome, insider_trading_suspicion
2024-01-01, 08:00:00, 1, 2024-01-02, 10:00:00, Wednesday, 50.00, 0, 0, 0.00, Entertainment, 50.00, Win, 0.30
2024-01-01, 08:00:00, 1, 2024-01-03, 12:00:00, Thursday, 30.00, 1, 1, 50.00, Geopolitics, 30.00, Loss, 0.20
2024-01-01, 08:00:00, 1, 2024-01-04, 14:00:00, Friday, 20.00, 2, 2, 80.00, Politics, 20.00, Win, 0.10
2024-01-01, 08:00:00, 1, 2024-01-05, 16:00:00, Saturday, 40.00, 3, 3, 100.00, Entertainment, 40.00, Loss, 0.25
2024-01-01, 08:00:00, 1, 2024-01-06, 18:00:00, Sunday, 25.00, 4, 4, 140.00, Geopolitics, 25.00, Win, 0.15
2024-01-01, 08:00:00, 1, 2024-01-07, 20:00:00, Monday, 35.00, 5, 5, 165.00, Politics, 35.00, Loss, 0.05
2024-01-01, 08:00:00, 1, 2024-01-08, 22:00:00, Tuesday, 45.00, 6, 6, 200.00, Entertainment, 45.00, Win, 0.40
2024-01-01, 08:00:00, 1, 2024-01-09, 09:00:00, Wednesday, 15.00, 7, 7, 245.00, Geopolitics, 15.00, Loss, 0.05
2024-01-01, 08:00:00, 1, 2024-01-10, 11:00:00, Thursday, 10.00, 8, 8, 260.00, Politics, 10.00, Win, 0.10
2024-01-01, 08:00:00, 1, 2024-01-11, 13:00:00, Friday, 60.00, 9, 9, 270.00, Entertainment, 60.00, Loss, 0.35
