date,Iran,US strikes Iran,US invades Iran,US bombs Iran,youtube,isPartial
2026-02-21,5,0,0,0,47,False
2026-02-22,5,0,0,0,43,False
2026-02-23,5,0,0,0,52,False
2026-02-24,4,0,0,0,50,False
2026-02-25,4,0,0,0,50,False
2026-02-26,4,0,0,0,51,False
2026-02-27,5,0,0,0,54,False
2026-02-28,100,1,0,1,44,False
2026-03-01,81,1,0,0,41,False
2026-03-02,52,0,0,0,49,False
2026-03-03,42,0,0,0,53,False
2026-03-04,36,0,0,0,48,False
2026-03-05,31,0,0,0,51,False
2026-03-06,28,0,0,0,56,False
2026-03-07,25,0,0,0,46,False
2026-03-08,26,0,0,0,44,False
