proxyWallet,side,conditionId,size,price,timestamp,title,slug,eventSlug,outcome,outcomeIndex,name,total_trade_value
0xdbade4c82fb72780a0db9a38f821d8671aba9c95,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,265520.98,0.998,1767479343,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,SwissMiss,264989.93804
0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,226533.48,0.999,1767544147,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,Alexparker,226306.94652
0xa7cfafa0db244f760436fcf83c8b1eb98904ba10,SELL,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,135093.69,0.998,1767473421,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,peggysage,134823.50262
0x3022ebb3d83ba8e4d8a272d0e28174cfa49359c1,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,80995.99,0.999,1767464417,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,Arlette,80914.99401000001
0x94cff0a688ca7b2e5b2602343c49bcd812123db3,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,80000.0,0.999,1767516667,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,Official-Market-Maker,79920.0
0xbdde4a18c01db2488b36adaf2abcd870b449c019,SELL,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,69849.19,0.998,1767461511,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,dooby,69709.49162
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,69793.45,0.998,1767437487,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,ArmageddonRewardsBilly,69653.8631
0x10909359f9db92c8ea52c9533ebe05f903db8104,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,53012.01,0.999,1767521913,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,Crypto-Dawg,52958.99799
0x46124c9f4996de1e1d9df92e883680c816574f8f,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,52037.537536,0.9989999999910834,1767523015,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,0xb34B41EFb262602BDe24d4Fb9e04b2DA7f0690C5,51985.49999800001
0x0026ca70e996c6119f9a47a425245d227dcbaef7,SELL,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,52000.0,0.998,1767473793,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,GobiDesertCanoePro,51896.0
0x7744bfd749a70020d16a1fcbac1d064761c9999e,SELL,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,50000.0,0.999,1767695969,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,chungguskhan,49950.0
0xa7cfafa0db244f760436fcf83c8b1eb98904ba10,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,50000.0,0.9986876924,1767457519,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,peggysage,49934.38462
0xfcf2378f20cf408d077c21e731272f21cccea469,SELL,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,45393.76,0.998,1767444687,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,Roflan-ludoman,45302.972480000004
