proxyWallet,side,conditionId,size,price,timestamp,title,slug,eventSlug,outcome,outcomeIndex,name,total_trade_value
0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,477716.08,0.999,1772266853,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,Yes,0,gmanas,477238.36392000003
0xadc2efbf97ce7b25f7a638aabdba196c657cd1c9,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,222255.98,0.999,1772269111,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,Yes,0,BenzoateOstylezeneBicarbonate,222033.72402000002
0x8f037a2e4fd49d11267f4ab874ab7ba745ac64d6,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,112088.86,0.9190867263704886,1772261429,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,Yes,0,Anointed-Connect,103019.3834
0xf67f72df65797a85dc9fd44d57adfe5b7b4a31cf,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,76154.42,0.998,1772264743,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,Yes,0,SmallFishInWhaleStomach,76002.11116
0x7d0a771ddd2c63255013a1efb5f0e42659b38c6c,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,60900.13,0.998,1772263989,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,Yes,0,GroyperFinancialServices,60778.329739999994
0x122cdd9db64fd8dc3ebab813218e3effe21f821f,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,59139.89,0.93,1772261557,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,Yes,0,okcoolstorybro,55000.097700000006
0xbacd00c9080a82ded56f504ee8810af732b0ab35,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,53602.54,0.998,1772264089,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,Yes,0,ScottyNooo,53495.33492
0x69aa9fa621403e3a121b29ad77d32ba9eb5e8847,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,53424.44,0.999,1772265357,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,Yes,0,tsekinming01,53371.01556
0x92a6294cd55b9c6ccd57efaffc365ad943118b84,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,53937.38,0.9797277351995963,1772263125,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,Yes,0,Trustinghorse,52843.94715
0x2616d30081a1a1718b4568e92459370637798d3c,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,49324.51,0.998,1772264081,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,Yes,0,x0000,49225.860980000005
0xc851cd9bee7d262afd78674f861f9f576a12cd2a,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,52877.06,0.875046231768559,1772261265,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,Yes,0,betwick,46269.8721
